gameid,year,round,date,hometeam,awayteam,hometeamscoreft,awayteamscoreft,venue,attendance,maxtemp,mintemp,rainfall
2021R0601,2021,R6,2021-04-23,Greater Western Sydney,Western Bulldogs,9.11,15.14,Manuka Oval,10064.0,18.3,0.5,0.0
2021R0602,2021,R6,2021-04-24,Geelong,West Coast,21.1,5.9,Kardinia Park,21282.0,18.7,11.8,0.0
2021R0603,2021,R6,2021-04-24,Gold Coast,Sydney,15.1,9.6,Carrara,9819.0,23.8,15.1,0.0
2021R0604,2021,R6,2021-04-24,Carlton,Brisbane Lions,12.13,15.13,Docklands,29576.0,17.6,11.8,0.0
2021R0605,2021,R6,2021-04-24,Melbourne,Richmond,12.1,6.12,M.C.G.,56418.0,17.6,11.8,0.0
2021R0606,2021,R6,2021-04-24,Fremantle,North Melbourne,14.15,6.12,Perth Stadium,0.0,31.2,12.8,0.0
2021R0607,2021,R6,2021-04-25,Hawthorn,Adelaide,15.12,16.3,York Park,9007.0,19.0,1.3,0.0
2021R0608,2021,R6,2021-04-25,Collingwood,Essendon,13.7,16.13,M.C.G.,78113.0,17.0,7.3,2.8
2021R0609,2021,R6,2021-04-25,Port Adelaide,St Kilda,14.9,5.9,Adelaide Oval,33125.0,19.8,8.0,0.0
2021R0701,2021,R7,2021-04-30,Richmond,Western Bulldogs,11.11,7.13,M.C.G.,52402.0,24.4,6.6,0.0
2021R0702,2021,R7,2021-05-01,Collingwood,Gold Coast,7.13,12.7,M.C.G.,24397.0,25.2,9.1,0.0
2021R0703,2021,R7,2021-05-01,Adelaide,Greater Western Sydney,4.15,15.16,Adelaide Oval,28853.0,28.9,14.8,0.0
2021R0704,2021,R7,2021-05-01,St Kilda,Hawthorn,19.14,9.5,Docklands,26433.0,25.2,9.1,0.0
2021R0705,2021,R7,2021-05-01,Sydney,Geelong,14.6,12.16,S.C.G.,29123.0,23.9,14.2,0.0
2021R0706,2021,R7,2021-05-01,Brisbane Lions,Port Adelaide,13.15,5.14,Gabba,20007.0,22.3,16.7,6.2
2021R0707,2021,R7,2021-05-02,North Melbourne,Melbourne,11.7,16.7,Bellerive Oval,6009.0,19.16,9.79,2.26
2021R0708,2021,R7,2021-05-02,Essendon,Carlton,16.11,19.9,M.C.G.,57447.0,25.8,13.1,0.0
2021R0709,2021,R7,2021-05-02,West Coast,Fremantle,20.12,11.7,Perth Stadium,0.0,23.4,7.2,0.0
2021R0801,2021,R8,2021-05-07,Richmond,Geelong,9.9,19.12,M.C.G.,54857.0,22.0,8.3,0.0
2021R0802,2021,R8,2021-05-08,Gold Coast,St Kilda,7.12,8.15,Carrara,9271.0,24.7,17.4,0.0
2021R0803,2021,R8,2021-05-08,Greater Western Sydney,Essendon,16.11,16.9,Sydney Showground,8526.0,26.3,14.0,1.4
2021R0804,2021,R8,2021-05-08,North Melbourne,Collingwood,11.1,14.1,Docklands,22329.0,19.7,11.7,0.0
2021R0805,2021,R8,2021-05-08,Melbourne,Sydney,10.7,8.1,M.C.G.,35567.0,19.7,11.7,0.0
2021R0806,2021,R8,2021-05-08,Port Adelaide,Adelaide,12.15,5.8,Adelaide Oval,43069.0,19.5,11.4,0.0
2021R0807,2021,R8,2021-05-09,Hawthorn,West Coast,8.12,14.14,M.C.G.,15277.0,19.8,10.3,0.6
2021R0808,2021,R8,2021-05-09,Western Bulldogs,Carlton,16.11,13.13,Docklands,27663.0,19.8,10.3,0.6
2021R0809,2021,R8,2021-05-09,Brisbane Lions,Fremantle,14.11,10.11,Gabba,15403.0,26.6,16.7,0.0
2021R0901,2021,R9,2021-05-14,St Kilda,Geelong,5.17,10.8,Docklands,26712.0,15.0,6.0,4.2
2021R0902,2021,R9,2021-05-15,Sydney,Collingwood,10.12,5.12,S.C.G.,31448.0,17.8,10.5,0.0
2021R0903,2021,R9,2021-05-15,Hawthorn,North Melbourne,12.8,13.9,York Park,9121.0,13.6,1.6,0.0
2021R0904,2021,R9,2021-05-15,Gold Coast,Brisbane Lions,7.9,19.1,Carrara,12636.0,24.5,11.4,0.0
2021R0905,2021,R9,2021-05-15,Richmond,Greater Western Sydney,13.9,12.11,Docklands,18798.0,12.2,6.1,8.4
2021R0906,2021,R9,2021-05-15,Port Adelaide,Western Bulldogs,12.5,15.6,Adelaide Oval,32787.0,16.6,12.5,3.4
2021R0907,2021,R9,2021-05-16,Essendon,Fremantle,10.8,8.13,Docklands,26357.0,15.3,6.6,0.1
2021R0908,2021,R9,2021-05-16,Melbourne,Carlton,13.16,10.8,M.C.G.,38581.0,15.3,6.6,0.1
2021R0909,2021,R9,2021-05-16,West Coast,Adelaide,16.1,11.1,Perth Stadium,43427.0,24.2,14.9,0.0
2021R1001,2021,R10,2021-05-21,Brisbane Lions,Richmond,15.12,11.8,Gabba,31127.0,23.4,12.2,0.0
2021R1002,2021,R10,2021-05-22,Carlton,Hawthorn,13.8,9.9,M.C.G.,45741.0,18.7,0.4,0.0
2021R1003,2021,R10,2021-05-22,Geelong,Gold Coast,14.7,8.9,Kardinia Park,22055.0,19.3,2.1,0.0
2021R1004,2021,R10,2021-05-22,Adelaide,Melbourne,15.6,14.11,Adelaide Oval,31373.0,23.5,9.3,0.0
